41675,"H",-0.18,-0.07,0.67,89.0,1.0
188329,"H",0.75,0.77,0.39,49.0,1.0
407425,"N",-0.32,0.85,3.95,111.0,1.0
333459,"N",-0.28,-0.78,3.13,67.0,1.0
372724,"H",-0.06,-0.18,0.71,151.0,1.0
207735,"N",0.23,-0.16,3.67,107.0,1.0
79172,"C",0.57,0.63,1.2,83.0,1.0
345883,"C",-0.08,-0.24,0.99,83.0,1.0
462442,"H",0.05,0.04,0.77,211.0,1.0
125329,"N",-1.65,0.36,4.1,50.0,1.0
255130,"N",1.51,0.46,4.15,109.0,1.0
33812,"N",-0.6,-0.39,4.34,150.0,1.0
411627,"H",-0.18,-0.12,0.54,83.0,1.0
289030,"N",0.37,0.5,3.61,76.0,1.0
339194,"H",0.15,-0.03,0.49,72.0,1.0
191146,"N",0.03,0.09,3.75,127.0,1.0
171825,"N",0.98,0.14,4.08,103.0,1.0
383939,"N",1.31,1.54,3.97,56.0,1.0
416643,"C",-0.84,-1.68,1.64,21.0,1.0
209982,"H",-0.11,-0.03,0.76,113.0,1.0
343913,"H",-0.41,-0.32,0.72,30.0,1.0
286979,"H",-0.05,-0.02,0.25,33.0,1.0
258382,"H",0.21,0.05,0.47,48.0,1.0
444577,"N",0.17,0.65,4.62,121.0,1.0
418282,"C",0.06,-0.37,1.77,109.0,1.0
130776,"H",0.07,0.05,0.6,103.0,1.0
477539,"N",1.16,0.57,4.1,146.0,1.0
36755,"H",0.17,0.16,0.32,32.0,1.0
324525,"C",0.3,0.09,1.08,108.0,1.0
136207,"C",0.01,-0.15,1.5,65.0,1.0
297310,"H",0.02,-0.13,0.61,117.0,1.0
219958,"N",-0.23,-0.3,3.2,148.0,1.0
386111,"N",0.77,0.28,4.11,38.0,1.0
288698,"H",0.03,-0.08,0.62,69.0,1.0
355100,"N",0.29,-0.15,2.39,96.0,1.0
161364,"H",-0.13,-0.18,0.54,33.0,1.0
160336,"N",0.29,0.09,2.78,58.0,1.0
19289,"N",0.31,0.26,4.14,133.0,1.0
330521,"C",-1.57,-1.09,1.37,32.0,0.0
211085,"H",0.12,-0.03,0.52,72.0,1.0
270974,"H",-0.06,-0.08,0.52,73.0,1.0
299002,"N",-0.77,-0.46,3.53,103.0,1.0
360766,"C",0.47,-0.19,1.37,102.0,1.0
400086,"N",-1.35,-1.02,4.14,90.0,1.0
424817,"C",-0.04,-0.11,1.13,84.0,1.0
387104,"H",0.03,-0.03,0.64,53.0,1.0
102414,"H",0.02,-0.1,0.61,95.0,1.0
372957,"N",0.58,-0.41,2.66,92.0,1.0
290842,"N",-0.14,-0.78,4.18,77.0,1.0
254814,"N",-0.2,0.43,3.74,166.0,1.0
153663,"H",-0.22,-0.31,0.57,27.0,1.0
184148,"C",0.35,0.23,1.5,94.0,1.0
241886,"C",0.42,-0.09,0.97,92.0,1.0
263641,"H",0.01,0.05,0.52,50.0,1.0
154109,"C",0.17,0.08,1.27,40.0,1.0
280673,"H",-0.14,0.43,1.9,38.0,1.0
170000,"N",-1.27,0.51,4.62,89.0,1.0
129492,"N",-1.26,0.21,4.38,103.0,1.0
28029,"N",1.18,1.49,3.04,118.0,1.0
358464,"C",-0.12,-0.04,1.16,64.0,1.0
159686,"H",-0.05,0.05,0.45,68.0,1.0
302334,"N",-1.25,0.01,4.46,284.0,1.0
365090,"H",-0.16,-0.0,0.55,42.0,1.0
345424,"H",0.16,-0.1,0.47,26.0,1.0
308156,"H",0.02,-0.1,0.51,77.0,1.0
383007,"N",-1.4,-0.42,1.88,37.0,1.0
456497,"C",0.57,0.32,1.11,64.0,1.0
304595,"N",-0.76,-0.56,3.75,58.0,1.0
179603,"C",-0.08,-0.14,1.42,122.0,1.0
139790,"N",-0.42,0.4,3.89,141.0,1.0
337337,"N",0.16,-0.08,2.78,102.0,1.0
416357,"C",-0.84,-1.68,1.64,21.0,1.0
49752,"H",-0.06,-0.05,0.54,52.0,1.0
153302,"C",2.35,2.43,1.4,45.0,0.0
471326,"N",-0.3,0.27,3.19,74.0,1.0
17607,"N",-1.74,-2.29,12.81,112.0,1.0
490495,"H",0.11,0.05,0.38,64.0,1.0
417158,"N",1.43,-0.1,4.24,127.0,1.0
163510,"N",0.91,0.93,3.87,101.0,1.0
346938,"H",-0.06,-0.09,0.24,106.0,1.0
225909,"H",-0.02,-0.03,0.55,92.0,1.0
101821,"C",0.14,-0.55,3.56,66.0,1.0
140697,"C",0.19,0.03,1.24,106.0,1.0
181447,"H",-0.12,-0.18,0.54,66.0,1.0
143814,"N",-0.14,-0.97,3.52,102.0,1.0
140697,"H",-0.04,0.01,0.64,99.0,1.0
103498,"H",-0.09,-0.06,0.66,152.0,1.0
334714,"N",-0.26,0.11,1.8,101.0,1.0
94823,"N",-1.61,0.56,4.57,82.0,1.0
111712,"N",0.3,-0.31,2.15,92.0,1.0
310303,"H",-0.15,-0.16,0.29,249.0,1.0
189236,"C",0.29,-0.06,1.34,113.0,1.0
153933,"N",-0.43,0.49,4.02,31.0,1.0
346328,"N",1.65,1.88,3.86,119.0,1.0
27715,"H",0.53,-0.14,0.68,43.0,1.0
91867,"H",-0.05,-0.06,0.62,103.0,1.0
81804,"H",-0.11,-0.11,0.56,165.0,1.0
197639,"C",-2.16,-2.45,1.49,51.0,0.0
469907,"C",0.55,0.49,1.52,49.0,1.0
439154,"C",0.1,0.07,0.99,113.0,1.0
88875,"C",-2.71,-2.53,1.13,91.0,0.0
262300,"H",0.13,-0.01,0.68,131.0,1.0
83287,"H",0.22,0.14,0.63,126.0,1.0
113425,"C",-0.31,0.28,1.0,64.0,1.0
26165,"H",-0.05,-0.06,0.41,148.0,1.0
90981,"N",0.76,1.4,3.81,88.0,1.0
437885,"C",-0.13,-0.21,1.43,178.0,1.0
85570,"N",0.12,0.54,3.27,58.0,1.0
225070,"H",0.03,0.03,0.18,99.0,1.0
21883,"H",0.13,0.09,0.71,114.0,1.0
163397,"C",-0.06,-0.04,1.25,111.0,1.0
213184,"C",0.25,0.14,1.08,69.0,1.0
416929,"C",-0.84,-1.68,1.64,21.0,1.0
163397,"H",-0.01,-0.02,0.54,104.0,1.0
455777,"C",-0.02,0.03,1.59,81.0,1.0
73951,"H",-0.2,-0.04,0.56,85.0,1.0
207056,"H",0.43,0.06,0.67,73.0,1.0
123101,"H",0.15,0.04,0.55,93.0,1.0
205464,"N",0.98,0.05,3.9,127.0,1.0
255962,"C",-0.22,-0.06,1.17,108.0,1.0
354774,"H",-0.03,-0.11,0.76,89.0,1.0
284154,"H",0.02,0.01,0.34,69.0,1.0
106572,"H",-0.06,0.06,0.59,55.0,1.0
137775,"N",0.13,-0.17,3.02,81.0,1.0
214353,"N",-0.42,0.13,3.83,61.0,1.0
454947,"C",-0.02,0.03,1.59,81.0,1.0
261779,"H",0.07,0.01,0.24,41.0,1.0
184585,"C",0.04,-0.09,1.41,101.0,1.0
184585,"H",-0.11,0.01,0.71,95.0,1.0
209889,"N",0.14,1.08,3.04,82.0,1.0
405532,"N",1.45,1.65,1.38,16.0,1.0
450936,"N",1.11,0.08,2.07,34.0,1.0
22299,"N",0.85,0.6,3.49,93.0,1.0
330265,"C",-1.8,-1.21,1.43,32.0,0.0
90447,"N",-0.38,0.76,3.38,114.0,1.0
